timestamp,phase,cpu_percent,ram_percent,process_count,total_threads,load_index,cpu_per_thread,resource_pressure,rolling_cpu_mean
06:22.9,high,77.5,87.1,202,3253,82.3,0.023824162,6750.25,NAN
06:30.9,high,40.9,93.6,201,3235,67.25,0.012642968,3828.24,NAN
06:38.6,high,38.5,92.6,201,3221,65.55,0.01195281,3565.1,NAN
06:46.3,high,39.6,93.2,201,3256,66.4,0.012162162,3690.72,NAN
06:54.5,high,72.1,94.4,208,3418,83.25,0.021094207,6806.24,53.72
07:03.4,high,70,95.2,214,3453,82.6,0.020272227,6664,52.22
07:13.0,high,80.4,95.5,209,3431,87.95,0.023433401,7678.2,60.12
07:22.6,high,80.8,96.1,210,3432,88.45,0.023543124,7764.88,68.58
07:33.8,high,95.4,96.1,209,3431,95.75,0.027805305,9167.94,79.74
07:43.0,high,95.3,94.1,207,3426,94.7,0.027816696,8967.73,84.38
07:52.1,high,99.6,95.5,208,3402,97.55,0.029276896,9511.8,90.3
08:00.4,high,32.4,97.2,210,3409,64.8,0.009504253,3149.28,80.7
08:09.1,high,79.2,93.1,210,3431,86.15,0.023083649,7373.52,80.38
08:16.7,high,92.2,94.2,209,3388,93.2,0.027213695,8685.24,79.74
08:24.8,high,100,96.1,210,3271,98.05,0.030571691,9610,80.68
08:32.7,high,79.9,96.5,208,3166,88.2,0.025236892,7710.35,76.74
08:41.1,high,98.1,96.7,209,3165,97.4,0.030995261,9486.27,89.88
08:49.0,high,51.4,95.7,209,3143,73.55,0.016353802,4918.98,84.32
08:56.9,high,80.9,96.1,209,3069,88.5,0.026360378,7774.49,82.06
09:05.1,high,53.1,96.7,209,3066,74.9,0.017318982,5134.77,72.68
09:13.1,high,78.8,98,209,3059,88.4,0.025760052,7722.4,72.46
09:21.1,high,49,96.5,209,3041,72.75,0.016113121,4728.5,62.64
09:29.6,high,97.5,95.3,208,3029,96.4,0.032188841,9291.75,71.86
09:38.6,high,84.5,95.2,209,3035,89.85,0.027841845,8044.4,72.58
09:47.2,high,70.8,95.5,209,3044,83.15,0.02325887,6761.4,76.12
09:56.9,high,83.9,88,204,2908,85.95,0.028851444,7383.2,77.14
10:04.8,high,70.9,81.7,202,2829,76.3,0.025061859,5792.53,81.52
10:12.3,high,47.9,76.7,201,2817,62.3,0.017003905,3673.93,71.6
10:19.7,high,93.8,77.1,201,2818,85.45,0.033286018,7231.98,73.46
10:27.4,high,83.7,78,199,2775,80.85,0.030162162,6528.6,76.04
10:35.2,high,100,81.9,203,3016,90.95,0.033156499,8190,79.26
10:43.5,high,71.1,83.4,208,3037,77.25,0.023411261,5929.74,79.3
10:51.3,high,95.8,80.8,206,3013,88.3,0.031795553,7740.64,88.88
10:59.2,high,94.6,83.1,206,3045,88.85,0.031067323,7861.26,89.04
11:07.0,high,73.1,82.2,208,3052,77.65,0.023951507,6008.82,86.92
11:15.4,high,91,84.9,204,3003,87.95,0.03030303,7725.9,85.12
11:23.2,high,90.7,79.4,204,3000,85.05,0.030233333,7201.58,89.04
11:31.0,high,55.9,85.8,203,2976,70.85,0.018783602,4796.22,81.06
11:38.8,high,97,93.7,203,2980,95.35,0.032550336,9088.9,81.54
11:47.0,high,97.3,88.8,202,2966,93.05,0.032805125,8640.24,86.38
11:54.8,high,100,90.1,205,2988,95.05,0.033467202,9010,88.18
12:02.6,high,98.4,93.5,204,2972,95.95,0.033109017,9200.4,89.72
12:10.5,high,62.6,68,204,2983,65.3,0.020985585,4256.8,91.06
